LogReg results without classifier threshold tuning
                      Label	Prec	Rec 	F1  	Support
                    banking	0.41	1.00	0.58	   21
                 bankruptcy	0.47	0.96	0.63	  252
                       base	0.58	0.98	0.73	  907
                  basel iii	0.20	0.67	0.31	    3
                beneficiary	0.47	0.98	0.63	  859
                    benefit	0.25	0.95	0.40	 1542
                    binding	0.21	0.96	0.35	 1076
                blue pencil	0.08	1.00	0.15	   11
                   blue sky	0.75	1.00	0.86	   94
                      board	0.16	0.91	0.27	  175
                      bonus	0.52	0.98	0.68	  609
                    bonuses	0.09	0.93	0.17	   46
                       book	0.40	0.96	0.56	  446
                 book-entry	0.40	1.00	0.57	   10
                   borrower	0.29	0.94	0.44	  625
        borrower’s response	0.43	1.00	0.60	    3
                  borrowing	0.42	0.97	0.59	  654
                     breach	0.17	0.93	0.29	  317
                   breakage	0.24	0.95	0.38	   21
                     broker	0.61	0.99	0.76	  404
                  brokerage	0.14	0.91	0.25	   67
                     budget	0.43	0.98	0.60	   88
                   building	0.26	0.90	0.41	   39
                     burden	0.07	0.94	0.14	   17
                   business	0.31	0.95	0.47	  897
                      buyer	0.10	0.90	0.18	   50
                calculation	0.21	0.94	0.35	  185
                 california	0.07	0.80	0.12	   10
               cancellation	0.27	0.90	0.41	  103
                        cap	0.24	0.75	0.36	   20
                   capacity	0.20	0.91	0.33	  117
                    capital	0.35	0.97	0.52	  476
             capitalization	0.39	0.99	0.56	  414
                        car	0.19	0.86	0.31	   14
                       care	0.27	0.90	0.41	   49
                       cash	0.24	0.92	0.38	  532
                   casualty	0.31	0.97	0.47	   88
                      cause	0.30	0.98	0.45	  463
                    certain	0.21	0.92	0.34	 1544
                certificate	0.44	0.98	0.61	 1354
              certification	0.28	0.93	0.43	  101
                  cessation	0.42	0.68	0.52	   22
                     change	0.39	0.96	0.55	 2161
                     charge	0.36	0.95	0.53	  339
                    charter	0.09	0.81	0.16	   16
              chattel paper	0.56	0.99	0.71	   95
                     checks	0.51	0.87	0.65	   23
                      claim	0.26	0.94	0.40	  783
             classification	0.86	0.96	0.91	   90
                   clawback	0.49	0.96	0.65	  272
           clinical studies	0.56	1.00	0.72	    9
                    closing	0.33	0.95	0.49	  962
                      cobra	0.19	1.00	0.33	   35
                       code	0.28	0.96	0.44	  270
                 collateral	0.25	0.95	0.39	 1067
                 collection	0.29	0.97	0.44	  230
                combination	0.26	0.88	0.40	   42
               commencement	0.11	0.84	0.20	   67
                 commission	0.18	0.82	0.29	   90
                 commitment	0.31	0.96	0.47	  787
                  committee	0.19	0.96	0.32	  295
                common area	0.33	1.00	0.50	   17
              communication	0.38	0.96	0.54	  248
                    company	0.18	0.91	0.31	 1363
         company’s response	0.14	1.00	0.25	    2
               compensation	0.15	0.90	0.26	  780
                competition	0.07	0.53	0.12	   17
                   complete	0.10	0.92	0.18	  175
               completeness	0.09	1.00	0.17	   12
                 completion	0.38	0.89	0.53	   36
                 compliance	0.32	0.95	0.48	 2334
                computation	0.49	0.99	0.65	  201
              computer line	0.67	1.00	0.80	    2
               condemnation	0.53	0.97	0.68	  161
                  condition	0.15	0.90	0.26	  898
                    conduct	0.37	0.95	0.53	  344
               confidential	0.25	0.96	0.40	  403
            confidentiality	0.41	0.96	0.57	  883
               confirmation	0.15	0.93	0.26	   95
                   conflict	0.40	0.96	0.56	  979
                    consent	0.25	0.94	0.40	 1574
              consequential	0.53	0.99	0.69	  192
              consideration	0.20	0.90	0.32	  255
              consolidation	0.32	0.93	0.48	  143
               construction	0.17	0.91	0.29	  630
                 consultant	0.12	0.70	0.21	   37
               consultation	0.20	0.87	0.32	   60
                 consulting	0.23	0.94	0.37	   64
                   contents	0.21	0.86	0.34	   22
                    contest	0.23	0.83	0.36	   24
               continuation	0.11	0.81	0.19	  107
                 continuing	0.15	0.89	0.26	  196
                   contract	0.27	0.95	0.42	  467
                 contractor	0.33	0.97	0.49	  148
               contribution	0.33	0.93	0.49	  295
                    control	0.38	0.95	0.54	 1051
                 conversion	0.43	0.97	0.59	  599
                 conveyance	0.09	0.79	0.17	   19
                cooperation	0.33	0.95	0.49	  521
                       copy	0.18	0.88	0.30	   26
                  copyright	0.21	0.95	0.34	   62
                  corporate	0.13	0.91	0.23	  431
                corporation	0.33	0.85	0.47	   26
      correction of defects	0.33	0.50	0.40	    2
       correction of errors	0.40	1.00	0.57	    4
                       cost	0.29	0.96	0.44	  813
                    counsel	0.26	0.96	0.41	  266
              counterclaims	0.43	0.94	0.59	   31
                counterpart	0.87	0.99	0.93	 2613
                   covenant	0.14	0.87	0.24	  856
                   coverage	0.48	0.95	0.63	  326
                   creation	0.20	0.82	0.32	   28
           credit inquiries	1.00	1.00	1.00	    6
                   creditor	0.25	0.96	0.40	   49
              cross-default	0.23	0.93	0.37	   30
                 cumulative	0.40	0.97	0.57	  397
                       cure	0.62	0.98	0.76	  220
                   currency	0.44	0.98	0.60	  212
                    current	0.38	0.93	0.54	   45
                  custodian	0.12	0.80	0.20	   15
                    custody	0.19	0.72	0.30	   18
                   customer	0.22	0.92	0.36	  143
                     damage	0.35	0.96	0.51	  362
                       data	0.62	0.96	0.75	  258
                       date	0.21	0.92	0.34	 1376
                        day	0.26	0.97	0.42	   89
                   deadline	0.88	0.92	0.90	   24
                      death	0.44	0.98	0.61	  697
                       debt	0.25	0.96	0.39	  298
                   decision	0.30	0.92	0.46	  156
                  deduction	0.25	0.95	0.40	  116
                       deed	0.30	0.93	0.45	   29
                    default	0.38	0.95	0.54	 1463
                    defense	0.27	0.97	0.43	  176
                   deferral	0.26	0.94	0.40	  167
                 deficiency	0.60	0.98	0.75	   56
                    defined	0.29	0.97	0.45	  325
                 definition	0.33	0.96	0.50	  568
                      delay	0.49	0.99	0.66	  312
                 delegation	0.56	0.96	0.71	  257
                  delisting	0.30	1.00	0.47	   17
                deliverable	0.28	0.70	0.40	   27
                   delivery	0.16	0.91	0.28	  908
                     demand	0.20	0.92	0.33	   49
              denominations	0.45	1.00	0.62	   28
                    deposit	0.38	0.96	0.54	  313
                 depository	0.26	0.89	0.40	   19
                description	0.34	0.87	0.48	   46
                designation	0.47	0.97	0.63	  383
                  destroyed	0.20	1.00	0.33	   13
                destruction	0.14	0.85	0.24	   27
              determination	0.16	0.95	0.28	  176
                development	0.33	0.95	0.49	  173
                  diligence	0.25	0.78	0.37	   32
                   dilution	0.43	0.83	0.57	   48
                   director	0.14	0.89	0.24	  169
                 disability	0.48	0.98	0.64	  663
              disagreements	0.76	1.00	0.87	   26
               disbursement	0.42	0.92	0.58	  131
                  discharge	0.20	0.85	0.33	   59
                 disclaimer	0.30	0.86	0.44	  118
                 disclosure	0.37	0.95	0.53	 1074
             discontinuance	0.68	1.00	0.81	   17
                   discount	0.40	0.97	0.57	   29
                 discretion	0.18	0.93	0.30	  102
                discussions	0.28	0.97	0.44	   33
                disposition	0.37	0.96	0.54	  217
                    dispute	0.21	0.93	0.34	  421
           disqualification	0.90	1.00	0.95	   85
                dissolution	0.25	0.92	0.39	   63
               distribution	0.25	0.92	0.39	  495
                   dividend	0.45	0.99	0.61	  663
                   document	0.22	0.93	0.36	 1460
                documentary	0.70	0.97	0.81	   59
              documentation	0.11	0.84	0.20	  128
                     dollar	0.15	0.88	0.26	   16
                   drafting	0.20	0.94	0.34	   53
                    drawing	0.46	0.97	0.62	   37
                        dtc	0.35	0.97	0.52	   32
                   duration	0.15	0.90	0.25	  146
                       duty	0.39	0.96	0.55	  954
                     earned	0.38	0.92	0.53	   13
              earnest money	0.26	0.92	0.41	   13
                    earning	0.27	0.95	0.42	   44
                     ebitda	0.25	1.00	0.40	   28
                     effect	0.16	0.91	0.27	 1893
              effectiveness	0.19	0.93	0.32	  564
                    efforts	0.22	0.94	0.35	  101
                   election	0.34	0.92	0.50	  356
                 electronic	0.31	0.97	0.47	  593
                eligibility	0.24	0.91	0.38	  282
                   eligible	0.16	0.87	0.27	  103
                  emergency	0.50	0.93	0.65	   15
                   employee	0.19	0.91	0.32	  751
                   employer	0.15	0.85	0.26	   72
                 employment	0.28	0.95	0.43	 1734
                encumbrance	0.10	0.76	0.18	   71
             enforceability	0.19	0.95	0.32	  430
                enforceable	0.11	0.93	0.19	   43
                enforcement	0.14	0.91	0.24	  514
                 engagement	0.27	0.92	0.41	   38
     enrollment requirement	1.00	1.00	1.00	    5
                     entire	0.73	0.99	0.84	 2452
                   entirety	0.11	0.83	0.19	   29
                     entity	0.34	0.91	0.49	   74
                      entry	0.26	0.91	0.40	   54
              environmental	0.56	0.98	0.71	  474
                      equal	0.85	0.95	0.90	   55
                  equipment	0.30	0.92	0.45	   95
                  equitable	0.14	0.96	0.24	  105
                     equity	0.28	0.95	0.43	  595
                      erisa	0.59	0.97	0.74	  434
                     escrow	0.28	0.96	0.44	  138
              establishment	0.15	0.89	0.26	   72
                     estate	0.16	0.80	0.27	   61
                   estoppel	0.43	0.96	0.59	   80
                       etc.	0.28	0.96	0.44	   28
                   evidence	0.47	0.98	0.64	  322
                examination	0.19	0.87	0.31	   31
                  exception	0.13	0.74	0.22	   66
                     excess	0.22	0.95	0.36	   57
                   exchange	0.21	0.93	0.34	  282
                  exclusion	0.27	0.77	0.40	   79
                  exclusive	0.10	0.85	0.18	  151
                exclusivity	0.13	0.73	0.22	   60
                exculpation	0.16	0.91	0.27	   56
                  execution	0.13	0.93	0.22	  612
                  executive	0.13	0.87	0.23	  267
                  exemption	0.42	0.96	0.58	   89
             exercisability	0.16	0.95	0.27	   81
                   exercise	0.36	0.97	0.52	 1023
                  existence	0.39	0.98	0.56	  666
                   existing	0.17	0.95	0.29	  177
            expansion space	0.00	0.00	0.00	    0
                    expense	0.58	0.97	0.72	 2629
                 experience	0.33	0.97	0.50	   77
                 expiration	0.23	0.91	0.37	  225
              export clause	0.00	0.00	0.00	    0
                  extension	0.31	0.93	0.46	  365
         extraordinary item	0.39	1.00	0.56	   14
                   facility	0.17	0.89	0.29	  172
                  facsimile	0.07	0.91	0.13	  125
          failure to comply	0.74	0.93	0.82	   15
         failure to deliver	0.94	0.97	0.96	   35
                       fair	0.17	0.89	0.29	   18
                      fatca	0.47	1.00	0.64	   78
                    federal	0.23	0.95	0.37	  103
                        fee	0.54	0.97	0.69	 2861
             fidelity bonds	0.43	1.00	0.60	    3
                       file	0.29	0.94	0.44	   48
                     filing	0.27	0.94	0.41	  557
                      final	0.14	0.85	0.25	  110
                  financial	0.45	0.97	0.62	 1405
                  financing	0.34	0.94	0.50	  218
         finra affiliations	0.50	1.00	0.67	    2
              finra matters	0.83	1.00	0.91	    5
                     firpta	0.35	1.00	0.51	   18
                      first	0.15	0.84	0.25	  113
                     fiscal	0.57	0.99	0.72	  211
                    fixture	0.15	0.89	0.26	   27
                      flood	0.47	0.98	0.64	   44
                forbearance	0.32	1.00	0.48	   18
                      force	0.29	0.95	0.45	  216
                  forecasts	0.22	0.89	0.36	   18
                foreclosure	0.34	0.86	0.49	   21
                    foreign	0.26	0.95	0.40	  188
                 forfeiture	0.22	0.94	0.35	  388
                       form	0.20	0.92	0.33	  462
                  formation	0.17	0.84	0.28	   64
                      forum	0.06	0.87	0.12	  119
    fourth quarter catch-up	1.00	1.00	1.00	    2
                 franchises	0.12	0.85	0.21	   26
       frequency of billing	1.00	1.00	1.00	    3
          fronting exposure	0.92	1.00	0.96	  131
                       full	0.14	0.91	0.24	  223
                       fund	0.27	0.92	0.41	  242
                    funding	0.41	0.96	0.57	  426
                       gaap	0.54	0.99	0.70	  150
                        gas	0.46	1.00	0.63	   16
                     gender	0.32	0.96	0.48	   83
                    general	0.09	0.81	0.16	 1459
                  generally	0.13	0.85	0.23	  686
     global safety database	0.17	1.00	0.29	    1
                      goals	0.16	0.96	0.28	   76
                       good	0.24	0.94	0.38	  553
                  governing	0.74	0.99	0.84	 3576
                 government	0.13	0.89	0.22	  104
               governmental	0.31	0.95	0.46	  511
                      grant	0.36	0.97	0.52	 1341
                    grantee	0.13	0.97	0.23	   33
                    grantor	0.26	1.00	0.42	   53
           gross misconduct	1.00	1.00	1.00	    4
                   gross-up	0.09	0.84	0.16	   19
              ground lessor	0.02	1.00	0.05	    1
                      group	0.32	0.73	0.45	   15
                  guarantee	0.21	0.91	0.34	  327
                  guarantor	0.18	0.92	0.30	  219
                   guaranty	0.27	0.92	0.42	  372
                 guidelines	0.22	0.81	0.34	   16
                  hazardous	0.20	0.85	0.32	   54
                    heading	0.71	0.99	0.82	  704
                     health	0.15	0.83	0.26	   60
                      hedge	0.37	0.96	0.53	   47
                    hedging	0.36	1.00	0.53	   67
                     holder	0.24	0.95	0.38	  129
                    holding	0.28	0.88	0.42	   92
                   holidays	0.18	1.00	0.30	   39
             identification	0.14	0.83	0.23	   36
                   identity	0.22	0.82	0.35	   11
                 illegality	0.67	0.95	0.78	  140
                   immunity	0.22	0.94	0.35	   33
                 impairment	0.38	0.94	0.54	   54
                 imposition	0.66	0.99	0.79	   81
                improvement	0.15	0.85	0.25	   74
                  incentive	0.22	0.93	0.36	  360
                     income	0.26	0.91	0.40	   98
              inconsistency	0.18	0.84	0.30	   25
              incorporation	0.19	0.93	0.31	  304
                   increase	0.37	0.97	0.54	  173
                incremental	0.25	0.97	0.39	   58
                 incumbency	0.36	0.98	0.53	   47
               indebtedness	0.29	0.93	0.44	  378
            indemnification	0.55	0.98	0.71	 1839
                 indemnitee	0.33	0.97	0.49	   60
                  indemnity	0.18	0.93	0.31	  450
                  indenture	0.12	1.00	0.21	   17
               independence	0.35	0.89	0.50	   18
                independent	0.36	0.97	0.52	  397
                 indulgence	0.14	1.00	0.25	   20
                information	0.31	0.95	0.46	 1837
               infringement	0.13	0.88	0.22	   17
                    initial	0.16	0.85	0.26	  217
                 injunction	0.23	0.95	0.37	   75
                 injunctive	0.22	0.99	0.35	  181
                    insider	0.66	0.98	0.79	   99
                 insolvency	0.18	0.96	0.30	   57
                 inspection	0.49	0.96	0.65	  389
               installation	0.45	0.86	0.59	   22
                installment	0.27	0.86	0.41	   37
                instruction	0.38	0.94	0.54	  124
                 instrument	0.18	0.92	0.30	  163
                  insurance	0.62	0.98	0.76	 1519
                    insurer	0.55	0.94	0.70	   17
                integration	0.17	0.95	0.29	  466
               intellectual	0.48	0.97	0.64	  510
              intercreditor	0.36	0.96	0.53	   89
                   interest	0.35	0.95	0.51	 2425
               interference	0.23	0.83	0.36	   23
                   internal	0.37	0.95	0.54	  126
             interpretation	0.12	0.91	0.21	  494
               interruption	0.21	1.00	0.35	   15
                 invalidity	0.08	0.86	0.15	  102
                  invention	0.31	0.94	0.47	  156
                  inventory	0.44	0.95	0.60	  123
              investigation	0.16	0.91	0.27	   57
                 investment	0.46	0.96	0.62	  885
                   investor	0.32	0.96	0.48	  211
                    invoice	0.22	0.97	0.36	   29
                involuntary	0.19	0.95	0.32	   73
                        isp	0.78	1.00	0.88	   88
                   issuance	0.27	0.94	0.41	  848
                     issuer	0.30	0.97	0.45	   86
                    joinder	0.23	0.91	0.37	   70
                      joint	0.25	0.93	0.39	  231
                   judgment	0.62	0.99	0.77	  177
               jurisdiction	0.30	0.97	0.46	 1247
                 jury trial	0.43	0.98	0.60	  922
                   keepwell	0.98	1.00	0.99	   99
                        key	0.21	0.73	0.33	   22
                    knowing	0.13	0.90	0.23	   29
                  knowledge	0.11	0.81	0.19	   27
                        kyc	0.16	1.00	0.28	   27
                          l	0.56	0.99	0.71	  196
                      labor	0.55	0.98	0.70	  287
                   landlord	0.18	0.88	0.30	   72
                   language	0.73	0.98	0.84	  124
             latent defects	0.00	0.00	0.00	    1
                        law	0.68	0.97	0.80	 6505
                   lawsuits	0.25	0.83	0.38	   18
                         lc	0.18	1.00	0.30	   29
                      lease	0.20	0.95	0.33	  353
                 lease-back	0.30	1.00	0.46	   17
                  leaseback	0.68	1.00	0.81	   86
                    leasing	0.23	0.90	0.37	   21
                      leave	0.29	0.98	0.45	   87
                      legal	0.15	0.88	0.25	  611
                     legend	0.43	0.99	0.60	  182
                     lender	0.45	0.97	0.62	 1863
           letter of credit	0.41	0.97	0.57	  618
        letter of direction	0.86	1.00	0.92	    6
             leverage ratio	0.62	0.99	0.76	  216
                  liability	0.26	0.94	0.41	 1145
                    license	0.28	0.94	0.44	  400
                   licensed	0.38	0.75	0.51	   20
      licensing requirement	0.33	1.00	0.50	    2
                       lien	0.29	0.96	0.44	  719
                       life	0.14	0.81	0.24	   36
                      limit	0.20	0.89	0.32	   89
                 limitation	0.18	0.91	0.31	 1282
                    limited	0.14	0.86	0.24	  189
                liquidation	0.27	0.83	0.40	   65
                  liquidity	0.29	0.97	0.45	   76
                    listing	0.62	0.98	0.76	  317
                 litigation	0.64	0.99	0.77	 1073
                        llc	0.04	0.30	0.07	   10
                       loan	0.26	0.95	0.41	 2002
                   location	0.34	0.95	0.50	  301
                    lock-up	0.46	0.98	0.63	   47
                  long-term	0.16	0.93	0.28	   55
                       loss	0.25	0.94	0.40	   93
                     losses	0.14	0.95	0.25	   42
                       lost	0.43	0.97	0.60	   58
                    loyalty	0.31	0.83	0.45	   23
                maintenance	0.33	0.96	0.49	  771
                 management	0.28	0.93	0.43	  230
                    manager	0.23	0.86	0.36	   69
                  mandatory	0.19	0.92	0.31	  285
                     manner	0.14	0.84	0.24	  125
                  marketing	0.42	0.88	0.56	   50
                    marking	0.75	0.75	0.75	   12
                 marshaling	0.46	1.00	0.63	   35
                marshalling	0.40	0.91	0.55	   35
                   material	0.30	0.94	0.45	 1193
                   maturity	0.24	0.95	0.38	  172
                    maximum	0.19	0.97	0.32	  182
                  mechanics	0.27	0.92	0.42	   63
                    medical	0.15	0.91	0.25	   34
                    meeting	0.35	0.91	0.51	  116
                     member	0.16	0.91	0.27	   58
                 membership	0.18	0.85	0.29	   54
                 memorandum	0.35	1.00	0.52	   24
                     merger	0.29	0.93	0.44	  341
                     method	0.18	0.91	0.30	  232
                  milestone	0.28	0.72	0.40	   18
                    minimum	0.34	0.97	0.50	  288
              miscellaneous	0.07	0.80	0.12	  421
         misrepresentations	0.17	0.79	0.28	   24
               misstatement	0.19	0.95	0.31	   60
                 mitigation	0.50	0.99	0.66	  245
               modification	0.17	0.94	0.29	  725
           money laundering	0.53	0.97	0.68	   74
                    monthly	0.15	0.85	0.25	   60
                   mortgage	0.16	0.86	0.28	   81
                  mutilated	0.31	1.00	0.48	   28
                     mutual	0.15	0.87	0.25	  140
                       name	0.45	0.98	0.62	  335
                     nasdaq	0.20	1.00	0.34	   19
                     nature	0.15	0.89	0.26	  435
                negotiation	0.14	0.78	0.24	   27
          net rentable area	0.40	1.00	0.57	    2
                  net worth	0.69	1.00	0.81	   72
                  no accord	0.50	1.00	0.67	    4
          no advertisements	0.12	0.83	0.21	    6
              no bad actors	0.04	1.00	0.08	    2
              no challenges	0.50	0.57	0.53	    7
       no course of dealing	0.50	0.83	0.62	    6
               no debarment	0.60	1.00	0.75	    6
             no duplication	0.33	0.92	0.49	   53
           no encroachments	1.00	1.00	1.00	    8
                   no fraud	0.40	1.00	0.57	    4
              no inducement	0.12	0.40	0.19	    5
no objection from the finra	0.75	1.00	0.86	    3
           no re-employment	0.00	0.00	0.00	    2
            no reborrowings	0.50	1.00	0.67	    6
             no segregation	0.60	1.00	0.75	    3
           no short selling	0.12	1.00	0.21	    2
                   no waste	0.00	0.00	0.00	    1
              non-admission	0.28	0.98	0.44	   47
                non-compete	0.12	0.83	0.21	   52
            non-competition	0.27	0.91	0.42	  223
             non-disclosure	0.09	0.86	0.17	   81
          non-disparagement	0.74	0.98	0.84	  321
            non-duplication	0.17	0.86	0.28	   21
              non-exclusive	0.12	0.76	0.20	   21
            non-exclusivity	0.35	0.92	0.51	   72
           non-interference	0.10	0.84	0.17	   25
               non-recourse	0.28	0.91	0.42	   23
               non-reliance	0.41	0.95	0.58	  122
           non-solicitation	0.46	0.97	0.63	  394
        non-transferability	0.16	0.98	0.28	  132
                 non-waiver	0.03	0.82	0.06	   28
 nonadmission of wrongdoing	0.13	1.00	0.24	    2
              nonalienation	0.21	1.00	0.35	   26
             noncompetition	0.14	0.84	0.24	   56
              nondisclosure	0.07	0.79	0.12	   33
           nondisparagement	0.17	0.95	0.29	   66
             nonexclusivity	0.34	1.00	0.50	   39
               nonliability	0.36	0.89	0.52	    9
            nonsolicitation	0.13	0.91	0.22	   57
         nontransferability	0.14	1.00	0.25	  105
                     notice	0.54	0.96	0.69	 3488
               notification	0.24	0.93	0.38	  262
                   novation	0.31	0.99	0.47	   77
                     number	0.22	0.96	0.36	  293
                 objectives	0.17	0.75	0.27	   24
                 obligation	0.17	0.90	0.29	 1918
                    obligor	0.23	0.95	0.37	   56
                  occupancy	0.28	0.89	0.42	   27
                       ofac	0.25	1.00	0.40	  139
                      offer	0.25	0.88	0.39	   75
                   offering	0.44	0.98	0.60	  305
                     office	0.40	0.98	0.57	  416
                    officer	0.18	0.86	0.29	  184
                     offset	0.29	0.93	0.45	  172
                   omission	0.43	0.97	0.60	   72
                  operating	0.20	0.83	0.33	  105
                  operation	0.18	0.83	0.30	   98
                    opinion	0.68	1.00	0.81	  300
                     option	0.29	0.94	0.44	 1140
                   optional	0.29	0.96	0.45	  255
                      order	0.21	0.88	0.34	  119
               organization	0.54	0.98	0.70	 1012
             organizational	0.20	0.92	0.33	  158
                origination	0.38	1.00	0.55	   38
                      other	0.15	0.85	0.26	 3204
               outplacement	0.84	0.98	0.90	   58
                    outside	0.23	0.83	0.36	   36
                outstanding	0.12	0.88	0.21	   58
                overadvance	0.31	1.00	0.47	   18
                      owner	0.25	1.00	0.40	   46
                  ownership	0.21	0.91	0.34	  653
          owner’s affidavit	0.09	1.00	0.17	    1
                     parent	0.05	0.62	0.09	   24
            pari passu note	0.50	1.00	0.67	    1
                participant	0.15	0.89	0.26	  327
              participation	0.30	0.95	0.46	  693
                  partition	0.75	1.00	0.86	   15
                    partner	0.24	0.95	0.38	   65
                partnership	0.17	0.89	0.28	  115
                      party	0.18	0.92	0.31	 1122
                     patent	0.16	0.89	0.28	  106
                    patriot	0.72	0.99	0.84	  533
                        pay	0.18	0.86	0.30	  146
                    payment	0.34	0.94	0.50	 5057
              payoff letter	0.38	1.00	0.55	   11
                    payroll	0.12	0.84	0.21	   19
                    pension	0.15	0.88	0.26	   59
                 perfection	0.19	0.92	0.31	  131
                    perform	0.35	0.89	0.50	   37
                performance	0.26	0.94	0.40	 1091
                    permits	0.37	0.95	0.53	  263
                  permitted	0.18	0.92	0.30	  201
                 perquisite	0.17	0.97	0.29	   37
                     person	0.39	0.95	0.55	  310
                   personal	0.19	0.88	0.31	  156
                  personnel	0.25	0.86	0.38	   21
                   physical	0.77	0.77	0.77	   22
                      place	0.19	0.91	0.32	  183
                  placement	0.38	0.99	0.55	  180
                       plan	0.27	0.95	0.42	 1692
                     pledge	0.26	0.96	0.40	  225
                     policy	0.27	0.97	0.42	  304
                   position	0.27	0.96	0.42	  303
                 possession	0.24	0.96	0.38	  100
               post-closing	0.20	0.88	0.33	  121
    post-termination period	0.67	1.00	0.80	    4
                      power	0.28	0.95	0.43	  819
                  practices	0.34	0.96	0.51	   82
                 preference	0.21	0.91	0.34	   11
                   premises	0.23	0.96	0.37	  115
                    premium	0.16	0.94	0.27	   33
                preparation	0.24	0.86	0.38	   50
                 prepayment	0.43	0.98	0.59	  656
               preservation	0.25	0.95	0.40	  152
                presumption	0.56	0.98	0.71	  221
                      price	0.38	0.96	0.54	  725
                    pricing	0.16	0.64	0.25	   14
                  principal	0.17	0.94	0.29	  177
                      prior	0.10	0.87	0.17	  189
                   priority	0.17	0.84	0.28	  109
                    privacy	0.54	0.98	0.70	  141
                  privilege	0.19	0.71	0.30	   24
                  pro forma	0.30	0.96	0.45	   82
         pro rata treatment	0.54	0.98	0.70	   84
                  procedure	0.25	0.91	0.40	  667
                 proceeding	0.23	0.95	0.37	  461
                   proceeds	0.53	0.98	0.69	  944
                    process	0.17	0.95	0.28	  265
                 processing	0.65	0.98	0.79	   65
